YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM,CONF_A,K TEMPO_A,K TEMPO RANK_A,KADJ T_A,KADJ T RANK_A,K OFF_A,KO RANK_A,KADJ O_A,KADJ O RANK_A,K DEF_A,KD RANK_A,KADJ D_A,KADJ D RANK_A,KADJ EM_A,KADJ EM RANK_A,BADJ EM_A,BADJ O_A,BADJ D_A,BARTHAG_A,GAMES_A,W_A,L_A,WIN%_A,EFG%_A,EFG%D_A,FTR_A,FTRD_A,TOV%_A,TOV%D_A,OREB%_A,DREB%_A,OP OREB%_A,OP DREB%_A,RAW T_A,2PT%_A,2PT%D_A,3PT%_A,3PT%D_A,BLK%_A,BLKED%_A,AST%_A,OP AST%_A,2PTR_A,3PTR_A,2PTRD_A,3PTRD_A,BADJ T_A,AVG HGT_A,EFF HGT_A,EXP_A,TALENT_A,FT%_A,OP FT%_A,PPPO_A,PPPD_A,ELITE SOS_A,WAB_A,BADJ EM RANK_A,BADJ O RANK_A,BADJ D RANK_A,BARTHAG RANK_A,EFG% RANK_A,EFGD% RANK_A,FTR RANK_A,FTRD RANK_A,TOV% RANK_A,TOV%D RANK_A,OREB% RANK_A,DREB% RANK_A,OP OREB% RANK_A,OP DREB% RANK_A,RAW T RANK_A,2PT% RANK_A,2PT%D RANK_A,3PT% RANK_A,3PT%D RANK_A,BLK% RANK_A,BLKED% RANK_A,AST% RANK_A,OP AST% RANK_A,2PTR RANK_A,3PTR RANK_A,2PTRD RANK_A,3PTRD RANK_A,BADJT RANK_A,AVG HGT RANK_A,EFF HGT RANK_A,EXP RANK_A,TALENT RANK_A,FT% RANK_A,OP FT% RANK_A,PPPO RANK_A,PPPD RANK_A,ELITE SOS RANK_A,CONF REG BADJ EM_A,CONF REG BADJ O_A,CONF REG BADJ D_A,CONF REG BARTHAG_A,CONF REG G_A,CONF REG W_A,CONF REG L_A,CONF REG WIN%_A,CONF REG EFG%_A,CONF REG EFGD%_A,CONF REG FTR_A,CONF REG FTRD_A,CONF REG TOV%_A,CONF REG TOV%D_A,CONF REG OREB%_A,CONF REG DREB%_A,CONF REG OP OREB%_A,CONF REG OP DREB%_A,CONF REG RAW T_A,CONF REG 2PT%_A,CONF REG 2PT%D_A,CONF REG 3PT%_A,CONF REG 3PT%D_A,CONF REG BLK%_A,CONF REG BLKED%_A,CONF REG AST%_A,CONF REG OP AST %_A,CONF REG 2PTR_A,CONF REG 3PTR_A,CONF REG 2PTRD_A,CONF REG 3PTRD_A,CONF REG BADJ T_A,CONF REG AVG HGT_A,CONF REG EFF HGT_A,CONF REG EXP_A,CONF REG TALENT_A,CONF REG FT%_A,CONF REG OP FT%_A,CONF REG PPPO_A,CONF REG PPPD_A,CONF REG ELITE SOS_A,CONF REG WAB_A,CONF_B,K TEMPO_B,K TEMPO RANK_B,KADJ T_B,KADJ T RANK_B,K OFF_B,KO RANK_B,KADJ O_B,KADJ O RANK_B,K DEF_B,KD RANK_B,KADJ D_B,KADJ D RANK_B,KADJ EM_B,KADJ EM RANK_B,BADJ EM_B,BADJ O_B,BADJ D_B,BARTHAG_B,GAMES_B,W_B,L_B,WIN%_B,EFG%_B,EFG%D_B,FTR_B,FTRD_B,TOV%_B,TOV%D_B,OREB%_B,DREB%_B,OP OREB%_B,OP DREB%_B,RAW T_B,2PT%_B,2PT%D_B,3PT%_B,3PT%D_B,BLK%_B,BLKED%_B,AST%_B,OP AST%_B,2PTR_B,3PTR_B,2PTRD_B,3PTRD_B,BADJ T_B,AVG HGT_B,EFF HGT_B,EXP_B,TALENT_B,FT%_B,OP FT%_B,PPPO_B,PPPD_B,ELITE SOS_B,WAB_B,BADJ EM RANK_B,BADJ O RANK_B,BADJ D RANK_B,BARTHAG RANK_B,EFG% RANK_B,EFGD% RANK_B,FTR RANK_B,FTRD RANK_B,TOV% RANK_B,TOV%D RANK_B,OREB% RANK_B,DREB% RANK_B,OP OREB% RANK_B,OP DREB% RANK_B,RAW T RANK_B,2PT% RANK_B,2PT%D RANK_B,3PT% RANK_B,3PT%D RANK_B,BLK% RANK_B,BLKED% RANK_B,AST% RANK_B,OP AST% RANK_B,2PTR RANK_B,3PTR RANK_B,2PTRD RANK_B,3PTRD RANK_B,BADJT RANK_B,AVG HGT RANK_B,EFF HGT RANK_B,EXP RANK_B,TALENT RANK_B,FT% RANK_B,OP FT% RANK_B,PPPO RANK_B,PPPD RANK_B,ELITE SOS RANK_B,CONF REG BADJ EM_B,CONF REG BADJ O_B,CONF REG BADJ D_B,CONF REG BARTHAG_B,CONF REG G_B,CONF REG W_B,CONF REG L_B,CONF REG WIN%_B,CONF REG EFG%_B,CONF REG EFGD%_B,CONF REG FTR_B,CONF REG FTRD_B,CONF REG TOV%_B,CONF REG TOV%D_B,CONF REG OREB%_B,CONF REG DREB%_B,CONF REG OP OREB%_B,CONF REG OP DREB%_B,CONF REG RAW T_B,CONF REG 2PT%_B,CONF REG 2PT%D_B,CONF REG 3PT%_B,CONF REG 3PT%D_B,CONF REG BLK%_B,CONF REG BLKED%_B,CONF REG AST%_B,CONF REG OP AST %_B,CONF REG 2PTR_B,CONF REG 3PTR_B,CONF REG 2PTRD_B,CONF REG 3PTRD_B,CONF REG BADJ T_B,CONF REG AVG HGT_B,CONF REG EFF HGT_B,CONF REG EXP_B,CONF REG TALENT_B,CONF REG FT%_B,CONF REG OP FT%_B,CONF REG PPPO_B,CONF REG PPPD_B,CONF REG ELITE SOS_B,CONF REG WAB_B
2025,64,Alabama St.,16,,,Saint Francis,16,,,,SWAC,69.0571,120,67.824,142,103.998,228,101.454,271,104.201,129,110.689,256,-9.235,273,-9.091,100.521,109.612,0.27,33,18,15,54.54545,47.1,50.3,29.9,38.7,13.2,18.6,28.3,68.9,31.1,71.7,69.1,45.4,50.4,32.9,33.4,8.4,9.1,45.4,50.3,57.1,42.9,60.5,39.5,67.626,76.5,79.666,2.346,4.049,69.8,69.9,1.041,1.046,11.608,-10.2,274,282,246,274,327,150,274,308,5,93,230,249,249,230,120,343,158,224,160,231,161,321,140,281,85,162,206,154,285,239,83,251,270,61,227,147,253,-15.5,96.5,112,0.153,367,128,239,34.8773842,47.3,52,34,37.2,19.3,18.2,29,67.1,32.9,71,69.4,47,52,31.9,34.7,8.9,10,49.1,54.9,63.8,36.2,60.9,39.1,68.8,76.425,79.839,2.172,5.343,69,70.4,0.973,1.084,14.579,-14.4,NEC,66.6493,254,66.9974,201,100.249,310,99.7234,299,107.927,223,112.484,293,-12.7602,311,-12.109,99.855,111.964,0.211,30,13,17,43.33333,51.6,51.3,23.8,28.7,19.6,16.4,25.4,70,30,74.6,66.6,52.6,53.4,33.4,32.3,6.7,9.3,50.3,51,58.1,41.9,56.8,43.2,67.172,76.305,78.644,1.173,0.2,72.5,74.5,1.001,1.081,12.764,-12.2,301,294,289,301,134,207,357,71,324,239,314,201,201,314,260,121,282,198,95,317,178,224,161,259,111,54,311,181,315,340,351,364,169,300,309,231,213,-13.8,97.6,111.4,0.179,267,107,160,40.07490637,48.9,51.5,29.4,33.7,18.5,17.8,26.5,70.1,29.9,73.5,66.2,48.8,52.4,32.8,33.4,8,9.2,52.5,53.4,60.8,39.2,60.4,39.6,66.8,76.39,78.986,1.922,1.82,72.9,73.2,0.994,1.068,9.915,-14
2025,64,San Diego St.,11,,,North Carolina,11,,,,MWC,66.1761,278,66.1184,245,104.984,203,109.848,111,96.3478,13,93.5742,13,16.2735,46,14.55,108.888,94.338,0.839,29,20,9,68.96552,50.6,45.3,32.1,37.2,16.8,19.7,29.4,69.1,30.9,70.6,66.1,51.6,45,32.8,30.4,18.6,8.7,50.9,50.1,60.6,39.4,52.7,47.3,65.794,78.127,81.937,1.611,41.617,66.7,70,1.048,0.962,27.647,0.9,56,121,14,54,194,7,204,291,158,57,201,240,240,201,288,153,8,230,19,1,122,210,131,198,169,11,354,260,45,19,310,71,336,67,209,12,68,7.4,109.6,102.2,0.691,353,187,166,52.97450425,51.4,50.7,35.1,33.5,17.2,17.8,28.8,71.5,28.5,71.2,67,51.9,50.9,33.8,33.5,10.1,9.4,54.4,53.7,60.4,39.6,59.7,40.3,67.4,77.782,80.644,1.952,25.06,70.5,70.2,1.063,1.042,23.621,-5.5,ACC,70.7715,46,70.5124,34,113.488,43,118.913,22,105.192,161,99.3766,54,19.5367,33,19.02,118.831,99.811,0.881,35,22,13,62.85714,54.2,49.6,34.8,30,15.1,15.2,29.2,72.9,27.1,70.8,70.8,54.9,49.2,35.3,33.5,9.7,10.5,51,47.5,63,37,62.1,37.9,70.562,76.417,79.98,1.623,87.298,73.7,74.8,1.134,1.052,35.154,1.4,35,21,65,36,53,118,126,106,43,310,205,54,54,205,47,49,113,96,167,151,289,206,67,138,229,223,148,34,293,202,307,2,124,308,44,163,38,10.9,112.6,101.7,0.763,587,324,263,55.19591141,51.7,50.3,32.7,31.2,16.5,17,30.6,70.9,29.1,69.4,67.3,51.9,50.2,34.2,33.7,9.8,8.8,51.1,50.5,61.6,38.4,61.2,38.8,67.5,77.817,81.113,1.869,53.585,74.1,73.7,1.093,1.053,27.675,-3.6
2025,64,American,16,,,Mount St. Mary's,16,,,,PAT,63.6519,357,63.5548,349,104.618,215,102.095,253,105.086,160,108.071,205,-5.9762,237,-6.202,101.22,107.422,0.335,32,20,12,62.5,51.8,52.1,29.5,34.1,16.8,17.6,23.8,72.6,27.4,76.2,63.7,51.1,53.1,35.1,33.6,5.3,9.5,52.1,50.4,55.2,44.8,64.3,35.7,63.442,76.377,79.635,2.039,0.2,75.9,69.2,1.045,1.052,8.755,-8.3,243,268,198,244,121,245,291,214,158,151,335,67,67,335,357,177,270,106,171,356,201,168,143,308,58,288,80,349,303,248,181,364,58,34,218,163,329,-10.6,100.6,111.2,0.24,310,137,173,44.19354839,51.2,52.2,29.3,30.4,17.2,16.5,26.1,72.6,27.4,73.9,66.1,50.9,52.1,34.5,34.9,7.6,8.5,52.2,52,59.2,40.8,61.1,38.9,66.9,76.325,79.442,1.685,0.954,70,71.3,1.035,1.069,8.432,-13.9,MAAC,67.4682,204,67.4378,170,101.563,282,100.191,293,102.06,79,106.864,175,-6.67224,250,-8.039,99.44,107.479,0.29,33,21,12,63.63636,51,48,31,26.7,21.7,15.9,31.1,71.7,28.3,68.9,67.5,50.1,48.7,34.9,31.4,7.9,9.5,60.6,52.3,59,41,55.5,44.5,67.317,77.043,80.419,2.013,0.853,73,73.8,1.014,1.022,8.934,-8.2,264,298,199,264,166,55,244,35,359,270,145,101,101,145,205,219,91,122,52,266,201,23,194,235,132,32,335,174,200,137,198,277,150,273,287,82,321,-9.8,100.4,110.2,0.255,407,188,219,46.19164619,49.2,50.9,28.8,30.3,18.1,17.9,30,69.6,30.4,70,66.9,48.9,50.7,33.1,34.1,9.3,9.9,53.3,55.3,60.7,39.3,60.4,39.6,67.4,76.563,79.525,1.84,5.227,73.5,73.8,1.024,1.056,8.373,-13.4
2025,64,Texas,11,,,Xavier,11,,,,SEC,68.4326,157,67.4356,171,112.903,50,116.755,38,104.089,126,99.6019,56,17.1527,44,16.502,116.676,100.174,0.852,34,19,15,55.88235,52.5,48.4,36.6,39.3,14.3,16.6,29.8,70.3,29.7,70.2,68.4,51.8,47.5,36,33.3,11.7,8.2,47.5,48.3,64.6,35.4,63.8,36.2,67.283,78.026,80.717,2.185,60.878,74.9,70.1,1.13,1.04,37.234,0.04,46,39,69,50,97,67,73,320,18,221,191,180,180,191,161,149,52,66,153,68,82,295,89,93,272,274,94,177,61,100,137,26,86,72,50,125,23,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,BE,69.453,100,69.1435,74,111.584,67,115.459,53,101.409,69,98.2866,44,17.1723,43,18.467,116.256,97.789,0.88,32,21,11,65.625,53.9,50.6,37.2,28.1,16,17.6,25.2,74.8,25.2,74.8,69.5,51.3,50.5,38.8,33.9,7.2,11.3,63.9,56,62.6,37.4,62.8,37.2,69.015,76.997,80.414,2.524,42.959,79.4,71.8,1.115,1.013,28.812,0.35,36,41,38,37,56,169,61,57,102,151,319,15,15,319,100,167,162,6,190,294,321,4,286,152,215,247,119,78,207,138,32,66,9,163,69,68,63,12.9,113.1,100.2,0.801,361,204,157,56.50969529,52.2,49.7,30.3,29.2,16.8,17,30.6,71.5,28.5,69.4,67.1,52.4,49.3,34.7,33.5,10.7,9.7,56,53.1,59.2,40.8,61.4,38.6,67.5,77.931,80.875,1.97,59.681,73.1,72,1.09,1.034,29.676,-2.3
