YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2023,Indiana,4,32,64,71
2023,Kent St.,13,64,64,60
2023,Iowa St.,6,64,64,41
2023,Pittsburgh,11,32,64,59
2023,Xavier,3,16,64,72
2023,Kennesaw St.,14,64,64,67
2023,Texas A&M,7,64,64,59
2023,Penn St.,10,32,64,76
2023,Texas ,2,8,64,81
2023,Colgate,15,64,64,61
2023,Kansas,1,32,64,96
2023,Howard,16,64,64,68
2023,Arkansas,8,16,64,73
2023,Illinois,9,64,64,63
2023,Saint Mary's,5,32,64,63
2023,VCU,12,64,64,51
2023,Connecticut,4,1,64,87
2023,Iona,13,64,64,63
2023,TCU,6,32,64,72
2023,Arizona St.,11,64,64,70
2023,Gonzaga,3,8,64,82
2023,Grand Canyon,14,64,64,70
2023,Northwestern,7,32,64,75
2023,Boise St.,10,64,64,67
2023,UCLA,2,16,64,86
2023,UNC Asheville,15,64,64,53
2023,Alabama,1,16,32,73
2023,Maryland,8,32,32,51
2023,San Diego St.,5,2,32,75
2023,Furman,13,32,32,52
2023,Creighton,6,8,32,85
2023,Baylor,3,32,32,76
2023,Missouri,7,32,32,63
2023,Princeton,15,16,32,78
2023,Fairleigh Dickinson,16,32,32,70
2023,Florida Atlantic,9,4,32,78
2023,Duke,5,32,32,52
2023,Tennessee,4,16,32,65
2023,Kentucky,6,32,32,69
2023,Kansas St.,3,8,32,75
2023,Michigan St.,7,16,32,69
2023,Marquette,2,32,32,60
2023,Houston,1,16,32,81
2023,Auburn,9,32,32,64
2023,Miami FL,5,4,32,85
2023,Indiana,4,32,32,69
2023,Pittsburgh,11,32,32,73
2023,Xavier,3,16,32,84
2023,Penn St.,10,32,32,66
2023,Texas ,2,8,32,71
2023,Kansas,1,32,32,71
2023,Arkansas,8,16,32,72
2023,Saint Mary's,5,32,32,55
2023,Connecticut,4,1,32,70
2023,TCU,6,32,32,81
2023,Gonzaga,3,8,32,84
2023,Northwestern,7,32,32,63
2023,UCLA,2,16,32,68
2023,Alabama,1,16,16,64
2023,San Diego St.,5,2,16,71
2023,Creighton,6,8,16,86
2023,Princeton,15,16,16,75
2023,Florida Atlantic,9,4,16,62
2023,Tennessee,4,16,16,55
2023,Kansas St.,3,8,16,98
2023,Michigan St.,7,16,16,93
2023,Houston,1,16,16,75
2023,Miami FL,5,4,16,89
2023,Xavier,3,16,16,71
2023,Texas ,2,8,16,83
2023,Arkansas,8,16,16,65
2023,Connecticut,4,1,16,88
2023,Gonzaga,3,8,16,79
2023,UCLA,2,16,16,76
2023,San Diego St.,5,2,8,57
2023,Creighton,6,8,8,56
2023,Florida Atlantic,9,4,8,79
2023,Kansas St.,3,8,8,76
2023,Miami FL,5,4,8,88
2023,Texas ,2,8,8,81
2023,Connecticut,4,1,8,82
2023,Gonzaga,3,8,8,54
2023,San Diego St.,5,2,4,72
2023,Florida Atlantic,9,4,4,71
2023,Miami FL,5,4,4,59
2023,Connecticut,4,1,4,72
2023,San Diego St.,5,2,2,59
2023,Connecticut,4,1,2,76
2022,Gonzaga,1,16,64,93
2022,Georgia St.,16,64,64,72
2022,Boise St.,8,64,64,53
2022,Memphis,9,32,64,64
2022,Connecticut,5,64,64,63
2022,New Mexico St.,12,32,64,70
2022,Arkansas,4,8,64,75
2022,Vermont,13,64,64,71
2022,Alabama,6,64,64,64
2022,Notre Dame,11,32,64,78
2022,Texas Tech,3,16,64,97
2022,Montana St.,14,64,64,62
2022,Michigan St.,7,32,64,74
2022,Davidson,10,64,64,73
2022,Duke,2,4,64,78
2022,Cal St. Fullerton,15,64,64,61
2022,Baylor,1,32,64,85
2022,Norfolk St.,16,64,64,49
2022,North Carolina,8,2,64,95
2022,Marquette,9,64,64,63
2022,Saint Mary's,5,32,64,82
2022,Indiana,12,64,64,53
2022,UCLA,4,16,64,57
2022,Akron,13,64,64,53
2022,Texas,6,32,64,81
2022,Virginia Tech,11,64,64,73
2022,Purdue,3,16,64,78
2022,Yale,14,64,64,56
2022,Murray St.,7,32,64,92
2022,San Francisco,10,64,64,87
2022,Kentucky,2,64,64,79
2022,Saint Peter's,15,8,64,85
2022,Arizona,1,16,64,87
2022,Wright St.,16,64,64,70
2022,Seton Hall,8,64,64,42
2022,TCU,9,32,64,69
2022,Houston,5,8,64,82
2022,UAB,12,64,64,68
2022,Illinois,4,32,64,54
2022,Chattanooga,13,64,64,53
2022,Colorado St.,6,64,64,63
2022,Michigan,11,16,64,75
2022,Tennessee,3,32,64,88
2022,Longwood,14,64,64,56
2022,Ohio St.,7,32,64,54
2022,Loyola Chicago,10,64,64,41
2022,Villanova,2,4,64,80
2022,Delaware,15,64,64,60
2022,Kansas,1,1,64,83
2022,Texas Southern,16,64,64,56
2022,San Diego St.,8,64,64,69
2022,Creighton,9,32,64,72
2022,Iowa,5,64,64,63
2022,Richmond,12,32,64,67
2022,Providence,4,16,64,66
2022,South Dakota St.,13,64,64,57
2022,LSU,6,64,64,54
2022,Iowa St.,11,16,64,59
2022,Wisconsin,3,32,64,67
2022,Colgate,14,64,64,60
2022,USC,7,64,64,66
2022,Miami FL,10,8,64,68
2022,Auburn,2,32,64,80
2022,Jacksonville St.,15,64,64,61
2022,Gonzaga,1,16,32,82
2022,Memphis,9,32,32,78
2022,New Mexico St.,12,32,32,48
2022,Arkansas,4,8,32,53
2022,Notre Dame,11,32,32,53
2022,Texas Tech,3,16,32,59
2022,Michigan St.,7,32,32,76
2022,Duke,2,4,32,85
2022,Baylor,1,32,32,86
2022,North Carolina,8,2,32,93
2022,Saint Mary's,5,32,32,56
2022,UCLA,4,16,32,72
2022,Texas,6,32,32,71
2022,Purdue,3,16,32,81
2022,Murray St.,7,32,32,60
2022,Saint Peter's,15,8,32,70
2022,Arizona,1,16,32,85
2022,TCU,9,32,32,80
2022,Houston,5,8,32,68
2022,Illinois,4,32,32,53
2022,Michigan,11,16,32,76
2022,Tennessee,3,32,32,68
2022,Ohio St.,7,32,32,61
2022,Villanova,2,4,32,71
2022,Kansas,1,1,32,79
2022,Creighton,9,32,32,72
2022,Richmond,12,32,32,51
2022,Providence,4,16,32,79
2022,Iowa St.,11,16,32,54
2022,Wisconsin,3,32,32,49
2022,Miami FL,10,8,32,79
2022,Auburn,2,32,32,61
2022,Gonzaga,1,16,16,68
2022,Arkansas,4,8,16,74
2022,Texas Tech,3,16,16,73
2022,Duke,2,4,16,78
2022,North Carolina,8,2,16,73
2022,UCLA,4,16,16,66
2022,Purdue,3,16,16,64
2022,Saint Peter's,15,8,16,67
2022,Arizona,1,16,16,60
2022,Houston,5,8,16,72
2022,Michigan,11,16,16,55
2022,Villanova,2,4,16,63
2022,Kansas,1,1,16,66
2022,Providence,4,16,16,61
2022,Iowa St.,11,16,16,56
2022,Miami FL,10,8,16,70
2022,Arkansas,4,8,8,69
2022,Duke,2,4,8,78
2022,North Carolina,8,2,8,69
2022,Saint Peter's,15,8,8,49
2022,Houston,5,8,8,44
2022,Villanova,2,4,8,50
2022,Kansas,1,1,8,76
2022,Miami FL,10,8,8,50
2022,Duke,2,4,4,77
2022,North Carolina,8,2,4,81
2022,Villanova,2,4,4,65
2022,Kansas,1,1,4,81
2022,North Carolina,8,2,2,69
2022,Kansas,1,1,2,72
2021,Gonzaga,1,2,64,98
2021,Norfolk St.,16,64,64,55
2021,Oklahoma,8,32,64,72
2021,Missouri,9,64,64,68
2021,Creighton,5,16,64,63
2021,UC Santa Barbara,12,64,64,62
2021,Virginia,4,64,64,58
2021,Ohio,13,32,64,62
2021,USC,6,8,64,72
2021,Drake,11,64,64,56
2021,Kansas,3,32,64,93
2021,Eastern Washington,14,64,64,84
2021,Iowa,2,32,64,86
2021,Grand Canyon,15,64,64,74
