YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM,CONF_A,K TEMPO_A,K TEMPO RANK_A,KADJ T_A,KADJ T RANK_A,K OFF_A,KO RANK_A,KADJ O_A,KADJ O RANK_A,K DEF_A,KD RANK_A,KADJ D_A,KADJ D RANK_A,KADJ EM_A,KADJ EM RANK_A,BADJ EM_A,BADJ O_A,BADJ D_A,BARTHAG_A,GAMES_A,W_A,L_A,WIN%_A,EFG%_A,EFG%D_A,FTR_A,FTRD_A,TOV%_A,TOV%D_A,OREB%_A,DREB%_A,OP OREB%_A,OP DREB%_A,RAW T_A,2PT%_A,2PT%D_A,3PT%_A,3PT%D_A,BLK%_A,BLKED%_A,AST%_A,OP AST%_A,2PTR_A,3PTR_A,2PTRD_A,3PTRD_A,BADJ T_A,AVG HGT_A,EFF HGT_A,EXP_A,TALENT_A,FT%_A,OP FT%_A,PPPO_A,PPPD_A,ELITE SOS_A,WAB_A,BADJ EM RANK_A,BADJ O RANK_A,BADJ D RANK_A,BARTHAG RANK_A,EFG% RANK_A,EFGD% RANK_A,FTR RANK_A,FTRD RANK_A,TOV% RANK_A,TOV%D RANK_A,OREB% RANK_A,DREB% RANK_A,OP OREB% RANK_A,OP DREB% RANK_A,RAW T RANK_A,2PT% RANK_A,2PT%D RANK_A,3PT% RANK_A,3PT%D RANK_A,BLK% RANK_A,BLKED% RANK_A,AST% RANK_A,OP AST% RANK_A,2PTR RANK_A,3PTR RANK_A,2PTRD RANK_A,3PTRD RANK_A,BADJT RANK_A,AVG HGT RANK_A,EFF HGT RANK_A,EXP RANK_A,TALENT RANK_A,FT% RANK_A,OP FT% RANK_A,PPPO RANK_A,PPPD RANK_A,ELITE SOS RANK_A,CONF REG BADJ EM_A,CONF REG BADJ O_A,CONF REG BADJ D_A,CONF REG BARTHAG_A,CONF REG G_A,CONF REG W_A,CONF REG L_A,CONF REG WIN%_A,CONF REG EFG%_A,CONF REG EFGD%_A,CONF REG FTR_A,CONF REG FTRD_A,CONF REG TOV%_A,CONF REG TOV%D_A,CONF REG OREB%_A,CONF REG DREB%_A,CONF REG OP OREB%_A,CONF REG OP DREB%_A,CONF REG RAW T_A,CONF REG 2PT%_A,CONF REG 2PT%D_A,CONF REG 3PT%_A,CONF REG 3PT%D_A,CONF REG BLK%_A,CONF REG BLKED%_A,CONF REG AST%_A,CONF REG OP AST %_A,CONF REG 2PTR_A,CONF REG 3PTR_A,CONF REG 2PTRD_A,CONF REG 3PTRD_A,CONF REG BADJ T_A,CONF REG AVG HGT_A,CONF REG EFF HGT_A,CONF REG EXP_A,CONF REG TALENT_A,CONF REG FT%_A,CONF REG OP FT%_A,CONF REG PPPO_A,CONF REG PPPD_A,CONF REG ELITE SOS_A,CONF REG WAB_A,CONF_B,K TEMPO_B,K TEMPO RANK_B,KADJ T_B,KADJ T RANK_B,K OFF_B,KO RANK_B,KADJ O_B,KADJ O RANK_B,K DEF_B,KD RANK_B,KADJ D_B,KADJ D RANK_B,KADJ EM_B,KADJ EM RANK_B,BADJ EM_B,BADJ O_B,BADJ D_B,BARTHAG_B,GAMES_B,W_B,L_B,WIN%_B,EFG%_B,EFG%D_B,FTR_B,FTRD_B,TOV%_B,TOV%D_B,OREB%_B,DREB%_B,OP OREB%_B,OP DREB%_B,RAW T_B,2PT%_B,2PT%D_B,3PT%_B,3PT%D_B,BLK%_B,BLKED%_B,AST%_B,OP AST%_B,2PTR_B,3PTR_B,2PTRD_B,3PTRD_B,BADJ T_B,AVG HGT_B,EFF HGT_B,EXP_B,TALENT_B,FT%_B,OP FT%_B,PPPO_B,PPPD_B,ELITE SOS_B,WAB_B,BADJ EM RANK_B,BADJ O RANK_B,BADJ D RANK_B,BARTHAG RANK_B,EFG% RANK_B,EFGD% RANK_B,FTR RANK_B,FTRD RANK_B,TOV% RANK_B,TOV%D RANK_B,OREB% RANK_B,DREB% RANK_B,OP OREB% RANK_B,OP DREB% RANK_B,RAW T RANK_B,2PT% RANK_B,2PT%D RANK_B,3PT% RANK_B,3PT%D RANK_B,BLK% RANK_B,BLKED% RANK_B,AST% RANK_B,OP AST% RANK_B,2PTR RANK_B,3PTR RANK_B,2PTRD RANK_B,3PTRD RANK_B,BADJT RANK_B,AVG HGT RANK_B,EFF HGT RANK_B,EXP RANK_B,TALENT RANK_B,FT% RANK_B,OP FT% RANK_B,PPPO RANK_B,PPPD RANK_B,ELITE SOS RANK_B,CONF REG BADJ EM_B,CONF REG BADJ O_B,CONF REG BADJ D_B,CONF REG BARTHAG_B,CONF REG G_B,CONF REG W_B,CONF REG L_B,CONF REG WIN%_B,CONF REG EFG%_B,CONF REG EFGD%_B,CONF REG FTR_B,CONF REG FTRD_B,CONF REG TOV%_B,CONF REG TOV%D_B,CONF REG OREB%_B,CONF REG DREB%_B,CONF REG OP OREB%_B,CONF REG OP DREB%_B,CONF REG RAW T_B,CONF REG 2PT%_B,CONF REG 2PT%D_B,CONF REG 3PT%_B,CONF REG 3PT%D_B,CONF REG BLK%_B,CONF REG BLKED%_B,CONF REG AST%_B,CONF REG OP AST %_B,CONF REG 2PTR_B,CONF REG 3PTR_B,CONF REG 2PTRD_B,CONF REG 3PTRD_B,CONF REG BADJ T_B,CONF REG AVG HGT_B,CONF REG EFF HGT_B,CONF REG EXP_B,CONF REG TALENT_B,CONF REG FT%_B,CONF REG OP FT%_B,CONF REG PPPO_B,CONF REG PPPD_B,CONF REG ELITE SOS_B,CONF REG WAB_B
2025,8,Louisville,8,,,Michigan St.,2,,,,,69.0231,121,68.826,90,113.399,44,118.177,27,99.6724,37,95.5301,21,22.6465,23,23.683,118.342,94.659,0.929,34,27,7,79.41176,53.4,49.2,34.5,26.8,16.5,18.6,32.2,72.8,27.2,67.8,69,57,48.3,33,33.7,8.1,9.7,51.9,46.6,51.9,48.1,60.3,39.7,68.807,78.008,81.168,2.555,20.225,74.4,71.4,1.135,0.995,29.98,5.5,19,25,16,19,72,100,137,37,136,93,111,59,59,111,125,19,79,218,177,252,219,174,53,347,19,157,214,92,65,58,23,129,104,143,43,35,59,10.9,112.6,101.7,0.763,587,324,263,55.19591141,51.7,50.3,32.7,31.2,16.5,17,30.6,70.9,29.1,69.4,67.3,51.9,50.2,34.2,33.7,9.8,8.8,51.1,50.5,61.6,38.4,61.2,38.8,67.5,77.817,81.113,1.869,53.585,74.1,73.7,1.093,1.053,27.675,-3.6,,69.2266,108,67.7809,144,112.538,58,118.056,29,96.7934,16,90.49,5,27.5664,8,24.997,116.833,91.836,0.941,33,27,6,81.81818,51.2,46.1,37.8,33.1,16.6,16.4,35.3,75.4,24.6,64.7,69.2,53.6,49.1,30.8,27.9,13.3,7.8,61.6,53.4,67.3,32.7,58.6,41.4,67.859,78.039,81.913,1.752,74.743,78.1,72.2,1.125,0.968,34.707,7.8,17,37,5,13,151,13,50,183,148,239,34,8,8,34,110,87,107,327,2,27,51,13,222,36,331,92,275,139,60,20,276,7,20,194,58,16,39,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7
2025,8,Maryland,4,,,St. Johns,2,,,,,70.7574,47,69.8717,57,114.918,33,118.089,28,94.8324,8,91.7546,6,26.3341,13,25.794,117.835,92.041,0.945,33,25,8,75.75758,53.8,47,32.9,25.9,14.5,20.2,31,72.8,27.2,69,70.7,52.7,47.6,37.2,30.7,12,6.4,50.4,49.4,64.5,35.5,64.2,35.8,69.841,77.5,80.919,1.64,66.049,75.5,73.9,1.151,0.944,31.337,4.6,14,28,6,10,59,27,182,28,24,40,152,59,59,152,50,114,54,31,28,54,4,222,113,95,271,284,82,54,119,73,301,18,70,275,29,6,53,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7,,70.4189,55,70.1918,49,110.13,94,113.938,64,92.0927,2,87.5628,1,26.3752,12,23.469,112.558,89.089,0.936,34,30,4,88.23529,49.7,46.6,30.2,30.4,15.6,21.9,37.3,71.1,28.9,62.7,70.4,51.5,45.8,30.4,31.8,15.1,8.3,53.7,55.9,69.7,30.3,59.2,40.8,70.097,78.209,80.533,2.12,64.078,68.9,67,1.102,0.922,27.94,7.8,21,70,2,15,244,19,270,115,74,13,9,134,134,9,55,162,13,338,69,9,87,121,284,19,347,115,254,50,39,124,151,22,296,4,91,2,66,12.9,113.1,100.2,0.801,361,204,157,56.50969529,52.2,49.7,30.3,29.2,16.8,17,30.6,71.5,28.5,69.4,67.1,52.4,49.3,34.7,33.5,10.7,9.7,56,53.1,59.2,40.8,61.4,38.6,67.5,77.931,80.875,1.97,59.681,73.1,72,1.09,1.034,29.676,-2.3
2025,8,Baylor,9,,,BYU,6,,,,,66.5794,256,65.803,266,124.282,1,127.999,2,93.0646,3,89.847,4,38.1518,1,37.181,128.453,91.272,0.981,34,31,3,91.17647,57.4,44.5,32.1,25.4,14.4,17.7,35.2,73.5,26.5,64.8,66.6,58,43.4,37.7,30.9,10.6,9.7,58.1,51.4,54.6,45.4,62.1,37.9,65.706,79.763,82.221,0.968,80.734,78.4,71.5,1.242,0.93,30.63,9.6,1,2,4,2,5,3,204,23,22,138,36,40,40,36,260,9,3,22,36,109,219,50,171,314,52,223,148,267,1,8,361,3,18,149,1,3,55,10.9,112.6,101.7,0.763,587,324,263,55.19591141,51.7,50.3,32.7,31.2,16.5,17,30.6,70.9,29.1,69.4,67.3,51.9,50.2,34.2,33.7,9.8,8.8,51.1,50.5,61.6,38.4,61.2,38.8,67.5,77.817,81.113,1.869,53.585,74.1,73.7,1.093,1.053,27.675,-3.6,,67.7804,189,67.3028,181,117.204,14,123.05,12,102.804,92,100.654,68,22.3965,24,26.353,125.443,99.09,0.938,33,24,9,72.72727,57.2,50.6,30.2,29.5,17.6,17.2,33.3,73.9,26.1,66.7,67.8,58.6,49.3,37.1,34.8,9.8,8.5,59.9,52.2,51.7,48.3,55.6,44.4,67.2,78.157,80.606,1.889,35.971,70.5,70.6,1.173,1.027,35.191,4.8,11,7,53,14,7,169,270,91,212,177,78,31,31,78,190,6,116,33,246,144,101,32,192,350,16,36,332,180,43,115,239,86,246,108,14,91,37,18.8,115.5,96.7,0.885,525,308,217,58.66666667,51.7,49.1,32.2,31,17,18.3,31.9,70.5,29.5,68.1,68.1,52,49,34.2,32.9,10.8,9.4,55.4,53.4,60.5,39.5,60.4,39.6,68,77.776,80.907,2.079,50.51,72.4,72.2,1.089,1.019,38.067,1.2
2025,8,Houston,1,,,UCLA,7,,,,,62.4183,360,61.5016,360,116.89,19,123.269,11,91.9137,1,87.8253,2,35.4439,3,36.804,124.791,87.987,0.982,34,30,4,88.23529,52.7,44.9,28.2,34.1,14.6,21.7,36.1,70.7,29.3,63.9,62.4,49,43.9,39.8,30.9,15.8,6.6,44.4,55,65.5,34.5,56.9,43.1,61.425,76.82,79.578,2.278,75.695,74.1,70.9,1.167,0.92,38.577,11.6,2,9,1,1,91,4,318,214,27,17,16,159,159,16,360,269,5,4,36,6,9,333,265,69,296,59,310,360,238,255,105,5,112,121,18,1,14,18.8,115.5,96.7,0.885,525,308,217,58.66666667,51.7,49.1,32.2,31,17,18.3,31.9,70.5,29.5,68.1,68.1,52,49,34.2,32.9,10.8,9.4,55.4,53.4,60.5,39.5,60.4,39.6,68,77.776,80.907,2.079,50.51,72.4,72.2,1.089,1.019,38.067,1.2,,66.5613,259,64.9617,301,112.395,61,116.828,36,98.9106,29,95.0405,17,21.7873,27,22.61,117.87,95.26,0.92,32,22,10,68.75,53,50.5,32.9,34.6,15.9,22.8,32.8,70.8,29.2,67.2,66.6,53.1,51.2,35.2,33.2,10.5,7,60.5,57.8,64,36,55.2,44.8,65.028,78.101,81.377,1.849,70.64,70.3,74.9,1.123,0.987,34.636,3.3,23,27,20,25,82,163,182,221,94,7,94,156,156,94,260,106,194,102,140,111,16,24,315,108,260,28,337,296,54,45,251,11,249,312,61,25,41,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7
