YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM
2023,64,Marquette,2,32,78,Vermont,15,64,61,Marquette
2023,64,Houston,1,16,63,Northern Kentucky,16,64,52,Houston
2023,64,Iowa,8,64,75,Auburn,9,32,83,Auburn
2023,64,Miami FL,5,4,63,Drake,12,64,56,Miami FL
2023,64,Indiana,4,32,71,Kent St.,13,64,60,Indiana
2023,64,Iowa St.,6,64,41,Pittsburgh,11,32,59,Pittsburgh
2023,64,Xavier,3,16,72,Kennesaw St.,14,64,67,Xavier
2023,64,Texas A&M,7,64,59,Penn St.,10,32,76,Penn St.
2023,64,Texas,2,8,81,Colgate,15,64,61,Texas 
2023,64,Kansas,1,32,96,Howard,16,64,68,Kansas
2023,64,Arkansas,8,16,73,Illinois,9,64,63,Arkansas
2023,64,Saint Mary's,5,32,63,VCU,12,64,51,Saint Mary's
2023,64,Connecticut,4,1,87,Iona,13,64,63,Connecticut
2023,64,TCU,6,32,72,Arizona St.,11,64,70,TCU
2023,64,Gonzaga,3,8,82,Grand Canyon,14,64,70,Gonzaga
2023,64,Northwestern,7,32,75,Boise St.,10,64,67,Northwestern
2023,64,UCLA,2,16,86,UNC Asheville,15,64,53,UCLA
2023,32,Alabama,1,16,73,Maryland,8,32,51,Alabama
2023,32,San Diego St.,5,2,75,Furman,13,32,52,San Diego St.
2023,32,Creighton,6,8,85,Baylor,3,32,76,Creighton
2023,32,Missouri,7,32,63,Princeton,15,16,78,Princeton
2023,32,Fairleigh Dickinson,16,32,70,Florida Atlantic,9,4,78,Florida Atlantic
2023,32,Duke,5,32,52,Tennessee,4,16,65,Tennessee
2023,32,Kentucky,6,32,69,Kansas St.,3,8,75,Kansas St.
2023,32,Michigan St.,7,16,69,Marquette,2,32,60,Michigan St.
2023,32,Houston,1,16,81,Auburn,9,32,64,Houston
2023,32,Miami FL,5,4,85,Indiana,4,32,69,Miami FL
2023,32,Pittsburgh,11,32,73,Xavier,3,16,84,Xavier
2023,32,Penn St.,10,32,66,Texas,2,8,71,Texas 
2023,32,Kansas,1,32,71,Arkansas,8,16,72,Arkansas
2023,32,Saint Mary's,5,32,55,Connecticut,4,1,70,Connecticut
2023,32,TCU,6,32,81,Gonzaga,3,8,84,Gonzaga
2023,32,Northwestern,7,32,63,UCLA,2,16,68,UCLA
2023,16,Alabama,1,16,64,San Diego St.,5,2,71,San Diego St.
2023,16,Creighton,6,8,86,Princeton,15,16,75,Creighton
2023,16,Florida Atlantic,9,4,62,Tennessee,4,16,55,Florida Atlantic
2023,16,Kansas St.,3,8,98,Michigan St.,7,16,93,Kansas St.
2023,16,Houston,1,16,75,Miami FL,5,4,89,Miami FL
2023,16,Xavier,3,16,71,Texas,2,8,83,Texas 
2023,16,Arkansas,8,16,65,Connecticut,4,1,88,Connecticut
2023,16,Gonzaga,3,8,79,UCLA,2,16,76,Gonzaga
2023,8,San Diego St.,5,2,57,Creighton,6,8,56,San Diego St.
2023,8,Florida Atlantic,9,4,79,Kansas St.,3,8,76,Florida Atlantic
2023,8,Miami FL,5,4,88,Texas,2,8,81,Miami FL
2023,8,Connecticut,4,1,82,Gonzaga,3,8,54,Connecticut
2023,4,San Diego St.,5,2,72,Florida Atlantic,9,4,71,San Diego St.
2023,4,Miami FL,5,4,59,Connecticut,4,1,72,Connecticut
2023,2,San Diego St.,5,2,59,Connecticut,4,1,76,Connecticut
2022,64,Gonzaga,1,16,93,Georgia St.,16,64,72,Gonzaga
2022,64,Boise St.,8,64,53,Memphis,9,32,64,Memphis
2022,64,Connecticut,5,64,63,New Mexico St.,12,32,70,New Mexico St.
2022,64,Arkansas,4,8,75,Vermont,13,64,71,Arkansas
2022,64,Alabama,6,64,64,Notre Dame,11,32,78,Notre Dame
2022,64,Texas Tech,3,16,97,Montana St.,14,64,62,Texas Tech
2022,64,Michigan St.,7,32,74,Davidson,10,64,73,Michigan St.
2022,64,Duke,2,4,78,Cal St. Fullerton,15,64,61,Duke
2022,64,Baylor,1,32,85,Norfolk St.,16,64,49,Baylor
2022,64,North Carolina,8,2,95,Marquette,9,64,63,North Carolina
2022,64,Saint Mary's,5,32,82,Indiana,12,64,53,Saint Mary's
2022,64,UCLA,4,16,57,Akron,13,64,53,UCLA
2022,64,Texas,6,32,81,Virginia Tech,11,64,73,Texas
2022,64,Purdue,3,16,78,Yale,14,64,56,Purdue
2022,64,Murray St.,7,32,92,San Francisco,10,64,87,Murray St.
2022,64,Kentucky,2,64,79,Saint Peter's,15,8,85,Saint Peter's
2022,64,Arizona,1,16,87,Wright St.,16,64,70,Arizona
2022,64,Seton Hall,8,64,42,TCU,9,32,69,TCU
2022,64,Houston,5,8,82,UAB,12,64,68,Houston
2022,64,Illinois,4,32,54,Chattanooga,13,64,53,Illinois
2022,64,Colorado St.,6,64,63,Michigan,11,16,75,Michigan
2022,64,Tennessee,3,32,88,Longwood,14,64,56,Tennessee
2022,64,Ohio St.,7,32,54,Loyola Chicago,10,64,41,Ohio St.
2022,64,Villanova,2,4,80,Delaware,15,64,60,Villanova
2022,64,Kansas,1,1,83,Texas Southern,16,64,56,Kansas
2022,64,San Diego St.,8,64,69,Creighton,9,32,72,Creighton
2022,64,Iowa,5,64,63,Richmond,12,32,67,Richmond
2022,64,Providence,4,16,66,South Dakota St.,13,64,57,Providence
2022,64,LSU,6,64,54,Iowa St.,11,16,59,Iowa St.
2022,64,Wisconsin,3,32,67,Colgate,14,64,60,Wisconsin
2022,64,USC,7,64,66,Miami FL,10,8,68,Miami FL
2022,64,Auburn,2,32,80,Jacksonville St.,15,64,61,Auburn
2022,32,Gonzaga,1,16,82,Memphis,9,32,78,Gonzaga
2022,32,New Mexico St.,12,32,48,Arkansas,4,8,53,Arkansas
2022,32,Notre Dame,11,32,53,Texas Tech,3,16,59,Texas Tech
2022,32,Michigan St.,7,32,76,Duke,2,4,85,Duke
2022,32,Baylor,1,32,86,North Carolina,8,2,93,North Carolina
2022,32,Saint Mary's,5,32,56,UCLA,4,16,72,UCLA
2022,32,Texas,6,32,71,Purdue,3,16,81,Purdue
2022,32,Murray St.,7,32,60,Saint Peter's,15,8,70,Saint Peter's
2022,32,Arizona,1,16,85,TCU,9,32,80,Arizona
2022,32,Houston,5,8,68,Illinois,4,32,53,Houston
2022,32,Michigan,11,16,76,Tennessee,3,32,68,Michigan
2022,32,Ohio St.,7,32,61,Villanova,2,4,71,Villanova
2022,32,Kansas,1,1,79,Creighton,9,32,72,Kansas
2022,32,Richmond,12,32,51,Providence,4,16,79,Providence
2022,32,Iowa St.,11,16,54,Wisconsin,3,32,49,Iowa St.
2022,32,Miami FL,10,8,79,Auburn,2,32,61,Miami FL
2022,16,Gonzaga,1,16,68,Arkansas,4,8,74,Arkansas
2022,16,Texas Tech,3,16,73,Duke,2,4,78,Duke
2022,16,North Carolina,8,2,73,UCLA,4,16,66,North Carolina
2022,16,Purdue,3,16,64,Saint Peter's,15,8,67,Saint Peter's
2022,16,Arizona,1,16,60,Houston,5,8,72,Houston
2022,16,Michigan,11,16,55,Villanova,2,4,63,Villanova
2022,16,Kansas,1,1,66,Providence,4,16,61,Kansas
2022,16,Iowa St.,11,16,56,Miami FL,10,8,70,Miami FL
2022,8,Arkansas,4,8,69,Duke,2,4,78,Duke
2022,8,North Carolina,8,2,69,Saint Peter's,15,8,49,North Carolina
2022,8,Houston,5,8,44,Villanova,2,4,50,Villanova
2022,8,Kansas,1,1,76,Miami FL,10,8,50,Kansas
2022,4,Duke,2,4,77,North Carolina,8,2,81,North Carolina
2022,4,Villanova,2,4,65,Kansas,1,1,81,Kansas
2022,2,North Carolina,8,2,69,Kansas,1,1,72,Kansas
2021,64,Gonzaga,1,2,98,Norfolk St.,16,64,55,Gonzaga
2021,64,Oklahoma,8,32,72,Missouri,9,64,68,Oklahoma
2021,64,Creighton,5,16,63,UC Santa Barbara,12,64,62,Creighton
2021,64,Virginia,4,64,58,Ohio,13,32,62,Ohio
2021,64,USC,6,8,72,Drake,11,64,56,USC
2021,64,Kansas,3,32,93,Eastern Washington,14,64,84,Kansas
2021,64,Iowa,2,32,86,Grand Canyon,15,64,74,Iowa
2021,64,Michigan,1,8,82,Texas Southern,16,64,66,Michigan
2021,64,LSU,8,32,76,St. Bonaventure,9,64,61,LSU
